Time,Voltage Magnitude,Voltage Angle,Current Magnitude,Current Angle,Frequency,ROCOF
11.4,7.9957,-11.521,0.7055,-79.587,59.997,-0.0041
11.433,7.9957,-11.521,0.7055,-79.586,59.997,-0.0043
11.466,7.9957,-11.52,0.7055,-79.586,59.997,-0.0041
11.5,7.9957,-11.52,0.7055,-79.586,59.997,-0.004
11.533,7.9957,-11.52,0.7055,-79.586,59.997,-0.0042
11.566,7.9957,-11.52,0.7055,-79.586,59.997,-0.0039
11.6,7.9957,-11.52,0.7055,-79.586,59.996,-0.0039
11.633,7.9957,-11.52,0.7055,-79.586,59.996,-0.0041
11.666,7.9956,-11.52,0.7055,-79.586,59.996,-0.0038
11.7,7.9957,-11.52,0.7055,-79.586,59.996,-0.0038
11.733,7.9956,-11.52,0.7055,-79.586,59.996,-0.004
11.766,7.9956,-11.52,0.7055,-79.586,59.996,-0.0037
11.8,7.9956,-11.52,0.7055,-79.586,59.996,-0.0037
11.833,7.9956,-11.52,0.7055,-79.586,59.996,-0.0039
11.866,7.9956,-11.52,0.7055,-79.586,59.995,-0.0036
11.9,7.9956,-11.52,0.7055,-79.586,59.995,-0.0035
11.933,7.9956,-11.52,0.7055,-79.586,59.995,-0.0037
11.966,7.9956,-11.52,0.7055,-79.586,59.995,-0.0034
12,7.9956,-11.52,0.7055,-79.586,59.995,-0.0034
12.033,7.9956,-11.52,0.7055,-79.586,59.995,-0.0036
12.066,7.9956,-11.52,0.7055,-79.586,59.995,-0.0033
12.1,7.9956,-11.52,0.7055,-79.585,59.995,-0.0033
12.133,7.9956,-11.52,0.7055,-79.586,59.995,-0.0035
12.166,7.9956,-11.52,0.7055,-79.585,59.995,-0.0032
12.2,7.9956,-11.52,0.7055,-79.585,59.994,-0.0031
12.233,7.9956,-11.52,0.7055,-79.585,59.994,-0.0034
12.266,7.9956,-11.52,0.7055,-79.585,59.994,-0.003
12.3,7.9956,-11.52,0.7055,-79.585,59.994,-0.003
12.333,7.9956,-11.52,0.7055,-79.585,59.994,-0.0032
12.366,7.9956,-11.52,0.7055,-79.585,59.994,-0.0029
12.4,7.9956,-11.52,0.7055,-79.585,59.994,-0.0029
12.433,7.9956,-11.52,0.7055,-79.585,59.994,-0.0031
12.466,7.9956,-11.52,0.7055,-79.585,59.993,-0.0028
12.5,7.9956,-11.52,0.7055,-79.585,59.993,-0.0027
12.533,7.9956,-11.52,0.7055,-79.585,59.993,-0.003
12.566,7.9956,-11.52,0.7055,-79.585,59.993,-0.0027
12.6,7.9956,-11.52,0.7055,-79.585,59.993,-0.0026
12.633,7.9956,-11.52,0.7055,-79.585,59.993,-0.0028
12.666,7.9956,-11.52,0.7055,-79.585,59.993,-0.0025
12.7,7.9956,-11.52,0.7055,-79.585,59.993,-0.0025
12.733,7.9956,-11.52,0.7055,-79.585,59.993,-0.0027
12.766,7.9956,-11.52,0.7055,-79.585,59.993,-0.0024
12.8,7.9956,-11.52,0.7055,-79.585,59.993,-0.0024
12.833,7.9956,-11.52,0.7055,-79.585,59.993,-0.0026
12.866,7.9956,-11.52,0.7055,-79.585,59.992,-0.0023
12.9,7.9956,-11.52,0.7055,-79.585,59.992,-0.0022
12.933,7.9956,-11.52,0.7055,-79.585,59.992,-0.0024
12.966,7.9956,-11.519,0.7055,-79.585,59.992,-0.0021
13,7.9956,-11.52,0.7055,-79.585,59.992,-0.002
13.033,7.9956,-11.52,0.7055,-79.585,59.992,-0.0023
13.066,7.9956,-11.52,0.7055,-79.585,59.992,-0.002
13.1,7.9956,-11.52,0.7055,-79.585,59.992,-0.0019
13.133,7.9956,-11.52,0.7055,-79.585,59.992,-0.0022
13.166,7.9956,-11.519,0.7055,-79.585,59.992,-0.0019
13.2,7.9956,-11.519,0.7055,-79.585,59.992,-0.0018
13.233,7.9956,-11.519,0.7055,-79.585,59.992,-0.002
13.266,7.9956,-11.519,0.7055,-79.585,59.992,-0.0017
13.3,7.9956,-11.519,0.7055,-79.585,59.992,-0.0017
13.333,7.9956,-11.519,0.7055,-79.585,59.992,-0.0019
13.366,7.9956,-11.519,0.7055,-79.584,59.992,-0.0016
13.4,7.9956,-11.519,0.7055,-79.584,59.991,-0.0015
13.433,7.9956,-11.519,0.7055,-79.585,59.991,-0.0018
13.466,7.9956,-11.519,0.7055,-79.585,59.991,-0.0014
13.5,7.9956,-11.519,0.7055,-79.584,59.991,-0.0014
13.533,7.9956,-11.519,0.7055,-79.584,59.991,-0.0016
13.566,7.9956,-11.519,0.7055,-79.584,59.991,-0.0013
13.6,7.9956,-11.519,0.7055,-79.584,59.991,-0.0013
13.633,7.9956,-11.519,0.7055,-79.584,59.991,-0.0015
13.666,7.9956,-11.519,0.7055,-79.584,59.991,-0.0012
